# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: C:\Users\Felipe\Desktop\Tec\ProyectoDiseno\ProyectoGithub\ProyectoRedesKPN\KPN_Modules\Modules_Implementation_With_LCD_Display\LCD_Pin_Assignments.csv
# Generated on: Wed Apr 26 21:21:28 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
add_button,Input,PIN_AE26,5,B5_N2,PIN_AE26,2.5 V,,,,,
clock,Input,PIN_AJ16,4,B4_N2,PIN_AJ16,2.5 V,,,,,
en,Output,PIN_AF4,3,B3_N2,PIN_AF4,2.5 V,,,,,
entry_1[15],Input,PIN_H25,6,B6_N0,PIN_H25,2.5 V,,,,,
entry_1[14],Input,PIN_C30,6,B6_N0,PIN_C30,2.5 V,,,,,
entry_1[13],Input,PIN_K25,6,B6_N1,PIN_K25,2.5 V,,,,,
entry_1[12],Input,PIN_J26,6,B6_N1,PIN_J26,2.5 V,,,,,
entry_1[11],Input,PIN_N25,6,B6_N2,PIN_N25,2.5 V,,,,,
entry_1[10],Input,PIN_M26,6,B6_N2,PIN_M26,2.5 V,,,,,
entry_1[9],Input,PIN_N26,6,B6_N2,PIN_N26,2.5 V,,,,,
entry_1[8],Input,PIN_R26,6,B6_N2,PIN_R26,2.5 V,,,,,
entry_1[7],Input,PIN_R29,6,B6_N2,PIN_R29,2.5 V,,,,,
entry_1[6],Input,PIN_P30,6,B6_N2,PIN_P30,2.5 V,,,,,
entry_1[5],Input,PIN_R30,6,B6_N2,PIN_R30,2.5 V,,,,,
entry_1[4],Input,PIN_T28,6,B6_N2,PIN_T28,2.5 V,,,,,
entry_1[3],Input,PIN_U21,5,B5_N1,PIN_U21,2.5 V,,,,,
entry_1[2],Input,PIN_AB30,5,B5_N1,PIN_AB30,2.5 V,,,,,
entry_1[1],Input,PIN_C2,8,B8_N2,PIN_C2,2.5 V,,,,,
entry_1[0],Input,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
lcd_data[7],Output,PIN_AE4,3,B3_N2,PIN_AE4,2.5 V,,,,,
lcd_data[6],Output,PIN_AH4,3,B3_N2,PIN_AH4,2.5 V,,,,,
lcd_data[5],Output,PIN_AE3,3,B3_N2,PIN_AE3,2.5 V,,,,,
lcd_data[4],Output,PIN_AH2,3,B3_N2,PIN_AH2,2.5 V,,,,,
lcd_data[3],Output,PIN_AE5,3,B3_N2,PIN_AE5,2.5 V,,,,,
lcd_data[2],Output,PIN_AH3,3,B3_N2,PIN_AH3,2.5 V,,,,,
lcd_data[1],Output,PIN_AF3,3,B3_N2,PIN_AF3,2.5 V,,,,,
lcd_data[0],Output,PIN_AG4,3,B3_N2,PIN_AG4,2.5 V,,,,,
on,Output,PIN_AF27,5,B5_N2,PIN_AF27,2.5 V,,,,,
reset,Input,PIN_V28,5,B5_N0,PIN_V28,2.5 V,,,,,
rs,Output,PIN_AG3,3,B3_N2,PIN_AG3,2.5 V,,,,,
rw,Output,PIN_AJ3,3,B3_N2,PIN_AJ3,2.5 V,,,,,
show_entries,Input,PIN_U30,5,B5_N0,PIN_U30,2.5 V,,,,,
